%Meteorological observations taken at Fort William Observatory (1890-1904),,,,,
"%Latitude: 56.81N, Longitude: 5.12W, Elevation 13m",,,,,
,,,,,
,,,,,
Year,Month,Day,Precipitation (mm),Tmin (degC),Tmax (degC)
1890,8,1,0.15,11.5,18.2
1890,8,2,0,10.2,17.9
1890,8,3,5.33,12.2,15.1
1890,8,4,20.9,13.8,16.3
1890,8,5,20.73,13.2,16.4
1890,8,6,0,12.2,15.4
1890,8,7,0,11.6,19.6
1890,8,8,0,10.7,21.1
1890,8,9,0,12.2,21.2
1890,8,10,0,13.2,21.8
1890,8,11,0.13,12.3,20.4
1890,8,12,17.91,11.7,15.6
1890,8,13,0.58,11.7,19.9
1890,8,14,0.69,11.6,16.2
1890,8,15,12.62,10.7,14.5
1890,8,16,12.65,10.3,13.3
1890,8,17,8.46,11.1,16.3
1890,8,18,0,10.9,15
1890,8,19,0,6.8,16.1
1890,8,20,4.62,11.1,17.4
1890,8,21,19.94,9.1,15
1890,8,22,10.95,9.1,14
1890,8,23,0.46,8.4,14.6
1890,8,24,0.03,7.8,14.5
1890,8,25,3.1,9,14.1
1890,8,26,4.24,9,14.4
1890,8,27,9.91,8.9,16.4
1890,8,28,0.38,8.2,13.4
1890,8,29,0,2.4,12.9
1890,8,30,0.23,6.6,13.8
1890,8,31,0.18,3.6,13.9
1890,9,1,17.3,10,13.7
1890,9,2,2.39,12.2,15.7
1890,9,3,12.93,12.6,16
1890,9,4,1.73,12.8,16.1
1890,9,5,0,11.8,16.5
1890,9,6,0,10,17.4
1890,9,7,0,8.2,19.4
1890,9,8,0,12.1,20.2
1890,9,9,1.35,10.2,16.5
1890,9,10,1.63,9.6,14.4
1890,9,11,2.11,11.7,15.4
1890,9,12,0.13,9.2,17.3
1890,9,13,0,6.6,18.9
1890,9,14,0,12.3,19.6
1890,9,15,0,10.5,21.2
1890,9,16,0,14.7,20.1
1890,9,17,0,13.6,18.6
1890,9,18,9.55,10.9,16.6
1890,9,19,0.99,7.9,17.7
1890,9,20,6.48,11.6,16.8
1890,9,21,0.89,12.7,15.6
1890,9,22,3.4,11.4,15.6
1890,9,23,2.59,11.6,15.2
1890,9,24,13.54,9.9,14.2
1890,9,25,29.67,8.7,14.8
1890,9,26,20.29,13,16.8
1890,9,27,11.05,11.6,15.4
1890,9,28,0.13,9.7,13.8
1890,9,29,21.41,8.2,13.9
1890,9,30,21.51,6.7,9.4
1890,10,1,14.63,6.2,10.5
1890,10,2,38.15,3.8,12.8
1890,10,3,75.18,12.1,14.3
1890,10,4,8.89,11.3,13.8
1890,10,5,23.88,10.8,14.2
1890,10,6,1.35,8.5,12
1890,10,7,0,6.1,12.8
1890,10,8,0,3.2,12.2
1890,10,9,3.1,8.7,12.9
1890,10,10,24.59,12.7,14.1
1890,10,11,16.89,12.8,14.8
1890,10,12,0.13,11.8,13.9
1890,10,13,0,11.8,13.2
1890,10,14,23.9,9.9,13.3
1890,10,15,22.53,5.9,10.7
1890,10,16,7.21,5.9,10.4
1890,10,17,0,7.6,11.4
1890,10,18,0,4.2,10.6
1890,10,19,0.28,3.6,10.8
1890,10,20,1.57,5.7,13.8
1890,10,21,0,10.7,13.6
1890,10,22,0.05,10.5,12.9
1890,10,23,6.4,11.1,12.3
1890,10,24,18.9,8.2,13.1
1890,10,25,5.23,2.4,8.9
1890,10,26,3.81,-0.6,5.2
1890,10,27,0.41,1.1,5
1890,10,28,18.57,1.4,12.8
1890,10,29,10.16,8.1,12.8
1890,10,30,8.59,6,9.1
1890,10,31,10.59,7.1,8.6
1890,11,1,12.09,7.1,11.3
1890,11,2,19.35,4.4,13.2
1890,11,3,8.33,3.2,5.7
1890,11,4,0.74,3.6,8.3
1890,11,5,0.53,2.7,8.4
