year,month,day,time,Latitude(S),Longitude(W),wind direction,wind force,"water temp
Surface (F)","water temp 
Injection (F)","Sea state 
Direction","Sea state 
Force","Sea swell 
Direction","Sea swell 
Force",Barometer,Air Temperature,REMARKS,Folder ref,ship_name,UUID
1934,11,23,12,-54.3,-31.2,NNE,3,32,nan,SW,3,SW,3,29.62,34,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,df3f30595b6d5637b720f0c03459f13d
1934,11,24,12,-54.7,-24.38,SW,3,32,nan,SW,3,SW,3,29.32,36,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,cafdefc50cf4521c89e65e1289aa9fb3
1934,11,25,12,-55.37,-17.75,WSW,5,31,nan,W,4,W,4,29.82,30,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,d5902707bbee573883dabc0c14e05ef9
1934,11,26,12,-55.92,-14.93,W,4,30,nan,W,3,W,3,29.04,32,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,f83a70969a5b5b10ae0bf58ea20e9f79
1934,11,27,12,-56.3,-13.58,WSW,3,29,nan,WSW,3,WSW,3,29.18,28,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,1c96f75dee635f68be231a89f9a9f070
1934,11,28,12,-56.18,-13.53,W,3,29,nan,W,2,N,2,29.22,28,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,b3ce41c0edbc59968c565a0334ffc079
1934,11,29,12,-56.12,-11.15,W,2,29,nan,W,2,N,2,29.16,29,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,6b6def4797f6579f835ccef38baa2966
1934,11,30,12,-56.13,-9.6,W,2,29,nan,W,1,nan,0,29.22,30,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,c48c7a4be05155e4aa028568fc7d51c2
1934,12,1,12,-56.02,-9.25,NW,1,29,nan,NW,1,nan,0,29.19,32,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,bbb085641e715597a0c7068052cbd8b4
1934,12,2,12,-55.95,-9.32,nan,1,29,nan,nan,0,NNW,1,28.97,31,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,c887c69105945a03af2035dd4fd40e8b
1934,12,3,12,-55.87,-9.53,NE,2,29,nan,nan,0,N,2,29.3,30,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,01c51862dedf5ba6a7c2a7fa9665763c
1934,12,4,12,-56.1,-9.63,NNE,2,29,nan,NNE,2,N,3,29.34,31,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,2f5fca80835455c1a4a2c79e3a9ce7ba
1934,12,5,12,-56.48,-9.62,NE,4,29,nan,NE,4,NE,4,28.84,32,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,177991ab93d857cbb88264528a3e1ebf
1934,12,6,12,-56.4,-8.9,N,3,29,nan,N,3,NE,4,28.86,32,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,17ba06d668815b55956f731afefe0464
1934,12,7,12,-56.87,-7.13,nan,1,29,nan,NE,3,NE,3,28.8,32,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,5cb1cad7b04b5d9285dda6368dba04ff
1934,12,8,12,-56.72,-5.0,nan,2,30,nan,NE,3,NE,3,28.72,30,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,495224891d435c319363d9507939d45f
1934,12,9,12,-57.48,-3.05,N,3,30,nan,N,3,N,3,28.7,32,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,23295a7315c45dacb80bf4d625dbf8b4
1934,12,10,12,-57.53,-2.77,nan,2,30,nan,N,3,N,2,28.69,32,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,49a086a0380c5f5f9accd1b6c43ab6c8
1934,12,11,12,-56.68,-1.48,nan,2,30,nan,N,2,N,2,28.74,32,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,049a1a1f891351a99336e77b7123fa2e
1934,12,12,12,-56.57,-1.12,WSW,3,30,nan,WSW,2,N,2,29.14,32,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,33add4d2ba405242b0f71154fec79fa4
1934,12,13,12,-56.57,-2.23,WSW,2,30,nan,WSW,2,N,2,29.38,34,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,c9d191cc8153546fab68fd486291f79a
1934,12,14,12,-56.08,-5.13,NE,3,30,nan,NE,3,N,3,28.98,30,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,0aa0428ca0655ab58cd6a9ebf963e72b
1934,12,15,12,-57.0,-4.6,NW,3,30,nan,NW,3,N,3,29.12,32,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,ae0bedc0af475e2a9cf3ec97af09544b
1934,12,16,12,-57.12,-4.6,NW,2,30,nan,NW,2,NW,2,29.32,32,PACKICE,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,5e90150c2d3e55b8b04a34904ba7e306
1934,12,17,12,-57.05,-4.48,NW,4,30,nan,NW,3,NW,3,29.12,32,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,6a8635017eda5f40a635dce6a413fd3e
1934,12,18,12,-57.03,-4.55,NNW,5,30,nan,NNW,5,NNW,5,28.82,32,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,4ad22c53e91955259cec9a384adb6527
1934,12,19,12,-57.03,-3.85,NNW,4,30,nan,NNW,4,NNW,4,28.98,32,nan,Salvesen1_B88_Current_H1-9_New_Sevilla_34_35,New sevilla,059ab533d06e5bd6864f2d89aca9d108
